"","49436004","prevalence_group","ISO","region","60621009"
"167",458.8,"medium (400-600)","CHE","Switzerland",25.33
"168",326.9,"low (<400)","SYR","Syrian Arab Republic",28.52
"169",374.7,"low (<400)","TWN","Taiwan",24.45
"170",494.8,"medium (400-600)","TJK","Tajikistan",26.25
"171",326.2,"low (<400)","TZA","Tanzania",23.28
"172",379.9,"low (<400)","THA","Thailand",24.56
"173",529.6,"medium (400-600)","BHS","Bahamas",28.17
"174",361.5,"low (<400)","GMB","Gambia",24.11
"175",386.4,"low (<400)","TLS","Timor-Leste",21.36
"176",347.9,"low (<400)","TGO","Togo",23.62
"177",409.2,"medium (400-600)","TON","Tonga",32.37
"178",558.9,"medium (400-600)","TTO","Trinidad and Tobago",27.83
"179",312.9,"low (<400)","TUN","Tunisia",26.52
"180",265.7,"low (<400)","TUR","Turkey",28.11
"181",525.3,"medium (400-600)","TKM","Turkmenistan",26.74
"182",317.8,"low (<400)","UGA","Uganda",22.48
"183",603.7,"high (>600)","UKR","Ukraine",26.75
"184",318.9,"low (<400)","ARE","United Arab Emirates",28.91
"185",720.9,"high (>600)","GBR","United Kingdom",27.31
"186",899.9,"high (>600)","USA","United States of America",29.04
"187",556.3,"medium (400-600)","URY","Uruguay",27.54
"188",510.1,"medium (400-600)","UZB","Uzbekistan",27.07
"189",393.6,"low (<400)","VUT","Vanuatu",26.34
"190",555.1,"medium (400-600)","VEN","Venezuela",26.82
"191",406.9,"medium (400-600)","VNM","Viet Nam",21.96
"192",544.3,"medium (400-600)","VIR",NA,NA
"193",305.9,"low (<400)","YEM","Yemen",23.96
"194",318.8,"low (<400)","ZMB","Zambia",22.64
"195",345.9,"low (<400)","ZWE","Zimbabwe",23.87
